puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
9,0,2,253.5,1000,2000,0.3,1000,0.3,0.2,4,100
8,0,5,63.6,1000,500,0.1,1000,0.4,0.1,4,100
1,0,2,698.92,1000,5000,0.3,1000,0.1,0.3,5,100
4,0,6,278.4,1000,2000,0.05,1000,0.3,0.1,5,100
5,0,6,277.62,1000,2000,0.05,1000,0.1,0.3,5,100
10,0,6,70.44,1000,500,0.2,1000,0.2,0.2,5,100
2,0,2,69.91,1000,500,0.1,1000,0.1,0.3,5,100
4,0,4,252.31,1000,2000,0.2,1000,0.4,0.1,4,100
10,0,2,253.16,1000,2000,0.2,1000,0.3,0.2,4,100
8,0,6,70.02,1000,500,0.1,1000,0.1,0.3,5,100
9,0,4,70.0,1000,500,0.05,1000,0.2,0.2,5,100
5,0,5,63.76,1000,500,0.2,1000,0.1,0.4,4,100
10,0,2,64.22,1000,500,0.2,1000,0.1,0.4,4,100
0,0,2,278.0,1000,2000,0.3,1000,0.3,0.1,5,100
4,0,4,282.23,1000,2000,0.3,1000,0.1,0.3,5,100
6,0,2,815.97,1000,5000,0.2,1000,0.1,0.1,10,100
7,0,2,279.54,1000,2000,0.05,1000,0.3,0.1,5,100
3,0,2,689.65,1000,5000,0.05,1000,0.3,0.1,5,100
4,0,4,256.78,1000,2000,0.2,1000,0.2,0.3,4,100
8,0,5,632.82,1000,5000,0.05,1000,0.2,0.3,4,100
4,0,2,702.56,1000,5000,0.3,1000,0.2,0.2,5,100
1,0,2,70.12,1000,500,0.2,1000,0.1,0.3,5,100
2,0,2,277.32,1000,2000,0.2,1000,0.2,0.2,5,100
3,0,4,831.32,1000,5000,0.05,1000,0.1,0.1,10,100
1,0,2,637.23,1000,5000,0.1,1000,0.1,0.4,4,100
0,0,4,331.89,1000,2000,0.1,1000,0.1,0.1,10,100
6,0,2,252.61,1000,2000,0.2,1000,0.4,0.1,4,100
4,0,4,635.37,1000,5000,0.1,1000,0.3,0.2,4,100
5,0,3,70.41,1000,500,0.3,1000,0.2,0.2,5,100
0,0,4,636.97,1000,5000,0.05,1000,0.1,0.4,4,100
6,1,0,150.43,538,2000,0.2,1000,0.1,0.3,5,100
10,0,6,64.06,1000,500,0.2,1000,0.1,0.4,4,100
2,0,2,252.42,1000,2000,0.05,1000,0.4,0.1,4,100
5,0,4,70.75,1000,500,0.1,1000,0.1,0.3,5,100
0,0,4,281.16,1000,2000,0.05,1000,0.1,0.3,5,100
10,0,2,835.4,1000,5000,0.3,1000,0.1,0.1,10,100
10,0,4,256.78,1000,2000,0.3,1000,0.1,0.4,4,100
7,0,2,633.71,1000,5000,0.2,1000,0.4,0.1,4,100
2,0,2,637.97,1000,5000,0.1,1000,0.1,0.4,4,100
5,0,4,332.99,1000,2000,0.1,1000,0.1,0.1,10,100
2,0,5,83.07,1000,500,0.3,1000,0.1,0.1,10,100
2,0,2,254.04,1000,2000,0.3,1000,0.3,0.2,4,100
2,0,2,254.88,1000,2000,0.2,1000,0.1,0.4,4,100
0,0,2,701.63,1000,5000,0.3,1000,0.3,0.1,5,100
0,0,6,64.16,1000,500,0.05,1000,0.2,0.3,4,100
3,0,6,70.25,1000,500,0.05,1000,0.3,0.1,5,100
7,0,4,64.36,1000,500,0.1,1000,0.1,0.4,4,100
10,0,4,84.0,1000,500,0.3,1000,0.1,0.1,10,100
0,0,4,697.35,1000,5000,0.1,1000,0.3,0.1,5,100
10,0,4,255.71,1000,2000,0.05,1000,0.2,0.3,4,100
9,0,2,705.93,1000,5000,0.3,1000,0.2,0.2,5,100
1,0,6,255.05,1000,2000,0.1,1000,0.4,0.1,4,100
6,0,5,63.53,1000,500,0.05,1000,0.1,0.4,4,100
8,0,6,63.43,1000,500,0.2,1000,0.4,0.1,4,100
3,0,4,254.08,1000,2000,0.1,1000,0.1,0.4,4,100
4,0,4,70.53,1000,500,0.2,1000,0.1,0.3,5,100
6,0,2,696.29,1000,5000,0.3,1000,0.3,0.1,5,100
4,0,4,279.99,1000,2000,0.2,1000,0.2,0.2,5,100
6,0,2,278.92,1000,2000,0.1,1000,0.3,0.1,5,100
6,0,2,698.12,1000,5000,0.2,1000,0.1,0.3,5,100
