puzzle_id,solved,final_fitness,time_seconds,generations_run,population_size,mutation_rate,generations,selection_rate,random_selection_rate,nb_children,restart_after_n_stagnant
59,0,4,640.37,1000,5000,0.3,1000,0.4,0.1,4,150
31,0,2,637.36,1000,5000,0.1,1000,0.4,0.1,4,150
41,0,4,650.49,1000,5000,0.4,1000,0.4,0.1,4,150
35,0,5,709.5,1000,5000,0.2,1000,0.1,0.3,5,150
62,0,2,645.32,1000,5000,0.4,1000,0.1,0.4,4,150
71,0,2,642.75,1000,5000,0.4,1000,0.4,0.1,4,150
28,0,2,640.1,1000,5000,0.3,1000,0.2,0.3,4,150
33,0,2,711.7,1000,5000,0.3,1000,0.3,0.1,5,150
88,0,2,637.78,1000,5000,0.2,1000,0.3,0.2,4,150
54,0,2,697.27,1000,5000,0.3,1000,0.3,0.1,5,150
89,0,2,697.3,1000,5000,0.3,1000,0.3,0.1,5,150
24,0,2,646.48,1000,5000,0.4,1000,0.1,0.4,4,150
12,0,2,639.77,1000,5000,0.3,1000,0.2,0.3,4,150
29,0,4,634.96,1000,5000,0.3,1000,0.2,0.3,4,150
38,0,2,629.64,1000,5000,0.4,1000,0.1,0.4,4,150
35,0,8,622.29,1000,5000,0.1,1000,0.1,0.4,4,150
81,0,2,587.62,1000,5000,0.1,1000,0.1,0.4,4,150
6,0,2,589.99,1000,5000,0.4,1000,0.1,0.4,4,150
62,0,2,581.05,1000,5000,0.2,1000,0.3,0.2,4,150
6,0,2,751.71,1000,5000,0.3,1000,0.1,0.1,10,150
19,0,2,695.29,1000,5000,0.4,1000,0.1,0.1,10,150
78,0,2,697.89,1000,5000,0.4,1000,0.1,0.1,10,150
